season,round,race_date,circuit_id,driver_code,constructor_id,is_sprint_weekend,quali_position,track_n,grid,team,sprint,driver_form,track,champ,teammate,finish_position,status,classified,label,p_a1
2015,1,2015-03-15,albert_park,KVY,red_bull,0,13,1,0.04978707,0.0,0.0,1.0,0.39863879,0.0,0.5,16,Withdrew,0,0,0.01442324
2015,1,2015-03-15,albert_park,HUL,force_india,0,14,3,0.03877421,0.0,0.0,1.0,0.20424044,0.0,0.5,7,+1 Lap,1,0,0.01191577
2015,1,2015-03-15,albert_park,PER,force_india,0,15,3,0.03019738,0.0,0.0,1.0,0.21281948,0.0,0.5,10,+1 Lap,1,0,0.01164732
2015,1,2015-03-15,albert_park,ERI,sauber,0,16,1,0.02351775,0.0,0.0,1.0,0.3,0.0,0.5,8,+1 Lap,1,0,0.01219107
2015,1,2015-03-15,albert_park,BUT,mclaren,0,17,3,0.01831564,0.0,0.0,1.0,0.72820455,0.0,0.5,11,+2 Laps,1,0,0.01677521
2015,1,2015-03-15,albert_park,MAG,mclaren,0,18,1,0.01426423,0.0,0.0,1.0,0.7,0.0,0.5,17,Withdrew,0,0,0.01617947
2015,2,2015-03-29,sepang,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,1.0,1.0,0.5,2,Finished,1,0,0.80204269
2015,2,2015-03-29,sepang,VET,ferrari,0,2,3,0.77880078,0.34883721,0.0,0.67032005,0.79694103,0.6,0.5,1,Finished,1,1,0.06232796
2015,2,2015-03-29,sepang,ROS,mercedes,0,3,3,0.60653066,1.0,0.0,0.81873075,0.69179168,0.72,0.5,3,Finished,1,0,0.10697674
2015,2,2015-03-29,sepang,RIC,red_bull,0,4,3,0.47236655,0.18604651,0.0,0.36787944,0.03070387,0.32,0.5,10,+1 Lap,1,0,0.00539553
2015,2,2015-03-29,sepang,KVY,red_bull,0,5,1,0.36787944,0.18604651,0.0,0.0,0.38061644,0.0,0.5,9,+1 Lap,1,0,0.00258829
2015,2,2015-03-29,sepang,VER,toro_rosso,0,6,0,0.2865048,0.04651163,0.0,0.0,0.5,0.0,0.5,7,Finished,1,0,0.00174845
2015,2,2015-03-29,sepang,MAS,williams,0,7,3,0.22313016,0.27906977,0.0,0.54881164,0.35808869,0.48,0.5,6,Finished,1,0,0.00468328
2015,2,2015-03-29,sepang,GRO,lotus_f1,0,8,3,0.17377394,0.0,0.0,0.0,0.21772022,0.0,0.5,11,+1 Lap,1,0,0.00088653
2015,2,2015-03-29,sepang,BOT,williams,0,9,2,0.13533528,0.27906977,0.0,0.0,0.33412364,0.0,0.5,5,Finished,1,0,0.00128499
2015,2,2015-03-29,sepang,ERI,sauber,0,10,1,0.10539922,0.3255814,0.0,0.24659696,0.3362233,0.16,0.5,19,Spun off,0,0,0.00184201
2015,2,2015-03-29,sepang,RAI,ferrari,0,11,3,0.082085,0.34883721,0.0,0.0,0.30276458,0.0,0.5,4,Finished,1,0,0.00115678
2015,2,2015-03-29,sepang,MAL,lotus_f1,0,12,3,0.06392786,0.0,0.0,0.0,0.0,0.0,0.5,16,Retired,0,0,0.00051161
2015,2,2015-03-29,sepang,HUL,force_india,0,13,3,0.04978707,0.1627907,0.0,0.30119421,0.40063261,0.24,0.5,14,+1 Lap,1,0,0.00142163
2015,2,2015-03-29,sepang,PER,force_india,0,14,3,0.03877421,0.1627907,0.0,0.16529889,0.30519719,0.04,0.5,13,+1 Lap,1,0,0.00093629
2015,2,2015-03-29,sepang,SAI,toro_rosso,0,15,0,0.03019738,0.04651163,0.0,0.20189652,0.5,0.08,0.5,8,+1 Lap,1,0,0.00095835
2015,2,2015-03-29,sepang,NAS,sauber,0,16,0,0.02351775,0.3255814,0.0,0.44932896,0.5,0.4,0.5,12,+1 Lap,1,0,0.0023778
2015,2,2015-03-29,sepang,BUT,mclaren,0,17,3,0.01831564,0.0,0.0,0.13533528,0.22446232,0.0,0.5,17,Turbo,0,0,0.00060406
2015,2,2015-03-29,sepang,ALO,mclaren,0,18,3,0.01426423,0.0,0.0,0.5,0.58125743,0.0,0.5,18,ERS,0,0,0.00117071
2015,2,2015-03-29,sepang,MER,manor,0,19,0,0.011109,0.0,0.0,0.5,0.5,0.0,0.5,15,+3 Laps,1,0,0.00108629
2015,3,2015-04-12,shanghai,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1,Finished,1,1,0.70994453
2015,3,2015-04-12,shanghai,ROS,mercedes,0,2,3,0.77880078,1.0,0.0,0.81873075,0.73084815,0.76744186,0.5,2,Finished,1,0,0.18347739
2015,3,2015-04-12,shanghai,VET,ferrari,0,3,3,0.60653066,0.68421053,0.0,0.91839875,0.58643923,0.93023256,0.5,3,Finished,1,0,0.07187628
2015,3,2015-04-12,shanghai,MAS,williams,0,4,3,0.47236655,0.39473684,0.0,0.50402792,0.20155612,0.46511628,0.5,5,Finished,1,0,0.00965803
2015,3,2015-04-12,shanghai,BOT,williams,0,5,2,0.36787944,0.39473684,0.0,0.24705634,0.34501611,0.23255814,0.5,6,Finished,1,0,0.00475683
2015,3,2015-04-12,shanghai,RAI,ferrari,0,6,3,0.2865048,0.68421053,0.0,0.3017553,0.47486857,0.27906977,0.5,4,Finished,1,0,0.00671716
2015,3,2015-04-12,shanghai,RIC,red_bull,0,7,3,0.22313016,0.14473684,0.0,0.29315957,0.43229638,0.20930233,0.5,9,Finished,1,0,0.00220845
2015,3,2015-04-12,shanghai,GRO,lotus_f1,0,8,3,0.17377394,0.0,0.0,0.07441194,0.180265,0.0,0.5,7,Finished,1,0,0.00082584
2015,3,2015-04-12,shanghai,NAS,sauber,0,9,0,0.13533528,0.18421053,0.0,0.30797968,0.5,0.23255814,0.5,8,Finished,1,0,0.00188857
2015,3,2015-04-12,shanghai,ERI,sauber,0,10,1,0.10539922,0.18421053,0.0,0.13558739,0.31091025,0.09302326,0.5,10,+1 Lap,1,0,0.00109131
2015,3,2015-04-12,shanghai,MAL,lotus_f1,0,11,3,0.082085,0.0,0.0,0.0,0.13830956,0.0,0.5,18,Brakes,0,0,0.00053754
2015,3,2015-04-12,shanghai,KVY,red_bull,0,12,1,0.06392786,0.14473684,0.0,0.11100957,0.38061644,0.04651163,0.5,19,Power Unit,0,0,0.00088508
2015,3,2015-04-12,shanghai,VER,toro_rosso,0,13,0,0.04978707,0.15789474,0.0,0.16560682,0.5,0.13953488,0.5,17,Transmission,0,0,0.00107784
2015,3,2015-04-12,shanghai,SAI,toro_rosso,0,14,0,0.03877421,0.15789474,0.0,0.24659696,0.5,0.13953488,0.5,13,+1 Lap,1,0,0.00113281
2015,3,2015-04-12,shanghai,PER,force_india,0,15,3,0.03019738,0.09210526,0.0,0.14076676,0.20189652,0.02325581,0.5,11,+1 Lap,1,0,0.00064227
2015,3,2015-04-12,shanghai,HUL,force_india,0,16,3,0.02351775,0.09210526,0.0,0.20644496,0.28485826,0.13953488,0.5,20,Gearbox,0,0,0.00078836
2015,3,2015-04-12,shanghai,BUT,mclaren,0,17,3,0.01831564,0.0,0.0,0.07441194,0.47619072,0.0,0.5,14,+1 Lap,1,0,0.00061029
2015,3,2015-04-12,shanghai,ALO,mclaren,0,18,3,0.01426423,0.0,0.0,0.0,0.81538534,0.0,0.5,12,+1 Lap,1,0,0.00072521
2015,3,2015-04-12,shanghai,STE,manor,0,19,0,0.011109,0.0,0.0,0.0,0.5,0.0,0.5,15,+2 Laps,1,0,0.00055964
2015,3,2015-04-12,shanghai,MER,manor,0,20,0,0.0086517,0.0,0.0,0.06687088,0.5,0.0,0.5,16,+2 Laps,1,0,0.00059658
2015,4,2015-04-19,bahrain,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,0.91705314,1.0,1.0,1,Finished,1,1,0.76263142
2015,4,2015-04-19,bahrain,VET,ferrari,0,2,3,0.77880078,0.66386555,0.0,0.83038796,1.0,0.80882353,0.5,5,Finished,1,0,0.12952438
2015,4,2015-04-19,bahrain,ROS,mercedes,0,3,3,0.60653066,1.0,0.0,0.81873075,0.75562111,0.75,0.0,3,Finished,1,0,0.07147502
2015,4,2015-04-19,bahrain,RAI,ferrari,0,4,3,0.47236655,0.66386555,0.0,0.38940338,0.73205615,0.35294118,0.5,2,Finished,1,0,0.01581857
2015,4,2015-04-19,bahrain,BOT,williams,0,5,2,0.36787944,0.40336134,0.0,0.2899207,0.33519446,0.26470588,0.5,4,Finished,1,0,0.00460507
2015,4,2015-04-19,bahrain,MAS,williams,0,6,3,0.2865048,0.40336134,0.0,0.48462239,0.28363757,0.44117647,0.5,10,+1 Lap,1,0,0.00473974
2015,4,2015-04-19,bahrain,RIC,red_bull,0,7,3,0.22313016,0.1092437,0.0,0.26078221,0.39165487,0.16176471,0.5,6,Finished,1,0,0.00169265
2015,4,2015-04-19,bahrain,HUL,force_india,0,8,3,0.17377394,0.05882353,0.0,0.13320456,0.37138873,0.08823529,0.5,13,+1 Lap,1,0,0.00107242
2015,4,2015-04-19,bahrain,SAI,toro_rosso,0,9,0,0.13533528,0.10084034,0.0,0.19129583,0.5,0.08823529,0.5,19,Engine,0,0,0.00117784
2015,4,2015-04-19,bahrain,GRO,lotus_f1,0,10,3,0.10539922,0.05042017,0.0,0.1548674,0.58371019,0.08823529,0.5,7,Finished,1,0,0.0010127
2015,4,2015-04-19,bahrain,PER,force_india,0,11,3,0.082085,0.05882353,0.0,0.13883984,0.63493612,0.01470588,0.5,8,+1 Lap,1,0,0.00091376
2015,4,2015-04-19,bahrain,NAS,sauber,0,12,0,0.06392786,0.15966387,0.0,0.28620296,0.5,0.20588235,0.5,12,+1 Lap,1,0,0.00122131
2015,4,2015-04-19,bahrain,ERI,sauber,0,13,1,0.04978707,0.15966387,0.0,0.14612813,0.3,0.07352941,0.5,14,+1 Lap,1,0,0.00076946
2015,4,2015-04-19,bahrain,ALO,mclaren,0,14,3,0.03877421,0.0,0.0,0.05896439,0.33491829,0.0,0.5,11,+1 Lap,1,0,0.00051662
2015,4,2015-04-19,bahrain,VER,toro_rosso,0,15,0,0.03019738,0.10084034,0.0,0.10685455,0.5,0.08823529,0.5,18,Electrical,0,0,0.00074837
2015,4,2015-04-19,bahrain,MAL,lotus_f1,0,16,3,0.02351775,0.05042017,0.0,0.0,0.10779418,0.0,0.5,15,+1 Lap,1,0,0.00041429
2015,4,2015-04-19,bahrain,KVY,red_bull,0,17,1,0.01831564,0.1092437,0.0,0.07162675,0.37595932,0.02941176,0.5,9,+1 Lap,1,0,0.00060624
2015,4,2015-04-19,bahrain,STE,manor,0,18,0,0.01426423,0.0,0.0,0.03236034,0.5,0.0,0.5,16,+2 Laps,1,0,0.00052535
2015,4,2015-04-19,bahrain,MER,manor,0,19,0,0.011109,0.0,0.0,0.05885475,0.5,0.0,0.5,17,+3 Laps,1,0,0.00053479
2015,5,2015-05-10,catalunya,ROS,mercedes,0,1,3,1.0,1.0,0.0,0.77986687,0.83049435,0.70967742,0.0,1,Finished,1,1,0.39749841
2015,5,2015-05-10,catalunya,HAM,mercedes,0,2,3,0.77880078,1.0,0.0,1.0,0.81290567,1.0,1.0,2,Finished,1,0,0.47740593
2015,5,2015-05-10,catalunya,VET,ferrari,0,3,3,0.60653066,0.67295597,0.0,0.73060114,0.75608287,0.69892473,0.66666667,3,Finished,1,0,0.07785424
2015,5,2015-05-10,catalunya,BOT,williams,0,4,2,0.47236655,0.3836478,0.0,0.35771573,0.45070295,0.32258065,0.66666667,4,Finished,1,0,0.01249481
2015,5,2015-05-10,catalunya,SAI,toro_rosso,0,5,0,0.36787944,0.0754717,0.0,0.14120174,0.5,0.06451613,0.5,9,+1 Lap,1,0,0.00342044
2015,5,2015-05-10,catalunya,VER,toro_rosso,0,6,0,0.2865048,0.0754717,0.0,0.07887286,0.5,0.06451613,0.5,11,+1 Lap,1,0,0.00241576
2015,5,2015-05-10,catalunya,RAI,ferrari,0,7,3,0.22313016,0.67295597,0.0,0.5018301,0.81873075,0.4516129,0.33333333,5,Finished,1,0,0.01190827
2015,5,2015-05-10,catalunya,KVY,red_bull,0,8,1,0.17377394,0.14465409,0.0,0.10574012,0.34424504,0.04301075,0.5,10,+1 Lap,1,0,0.0016248
2015,5,2015-05-10,catalunya,MAS,williams,0,9,3,0.13533528,0.3836478,0.0,0.40100207,0.39962707,0.33333333,0.33333333,6,Finished,1,0,0.00337218
2015,5,2015-05-10,catalunya,RIC,red_bull,0,10,3,0.10539922,0.14465409,0.0,0.28882746,0.56279652,0.20430108,0.5,7,+1 Lap,1,0,0.0021109
2015,5,2015-05-10,catalunya,GRO,lotus_f1,0,11,3,0.082085,0.0754717,0.0,0.19318558,0.35268547,0.12903226,0.5,8,+1 Lap,1,0,0.00126679
2015,5,2015-05-10,catalunya,MAL,lotus_f1,0,12,3,0.06392786,0.0754717,0.0,0.01592416,0.41482736,0.0,0.5,19,Accident,0,0,0.00093183
2015,5,2015-05-10,catalunya,ALO,mclaren,0,13,3,0.04978707,0.0,0.0,0.08594075,1.0,0.0,0.5,20,Brakes,0,0,0.00135767
2015,5,2015-05-10,catalunya,BUT,mclaren,0,14,3,0.03877421,0.0,0.0,0.05488967,0.27680003,0.0,0.5,16,+1 Lap,1,0,0.00071524
2015,5,2015-05-10,catalunya,NAS,sauber,0,15,0,0.03019738,0.11949686,0.0,0.24027152,0.5,0.15053763,1.0,12,+1 Lap,1,0,0.00173786
2015,5,2015-05-10,catalunya,ERI,sauber,0,16,1,0.02351775,0.11949686,0.0,0.12731179,0.31332635,0.05376344,0.0,14,+1 Lap,1,0,0.00073504
2015,5,2015-05-10,catalunya,HUL,force_india,0,17,3,0.01831564,0.06918239,0.0,0.12207872,0.19666028,0.06451613,0.33333333,15,+1 Lap,1,0,0.00072249
2015,5,2015-05-10,catalunya,PER,force_india,0,18,3,0.01426423,0.06918239,0.0,0.16705789,0.23234069,0.05376344,0.66666667,13,+1 Lap,1,0,0.00089882
2015,5,2015-05-10,catalunya,STE,manor,0,19,0,0.011109,0.0,0.0,0.03861567,0.5,0.0,0.5,17,+3 Laps,1,0,0.00076161
2015,5,2015-05-10,catalunya,MER,manor,0,20,0,0.0086517,0.0,0.0,0.05284804,0.5,0.0,0.5,18,+4 Laps,1,0,0.00076692
2015,6,2015-05-24,monaco,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,0.67677388,1.0,0.8,3,Finished,1,0,0.7050755
2015,6,2015-05-24,monaco,ROS,mercedes,0,2,3,0.77880078,1.0,0.0,0.85781879,1.0,0.81981982,0.2,1,Finished,1,1,0.21853161
2015,6,2015-05-24,monaco,VET,ferrari,0,3,3,0.60653066,0.65346535,0.0,0.74616018,0.40178783,0.72072072,0.75,2,Finished,1,0,0.04869102
2015,6,2015-05-24,monaco,RIC,red_bull,0,4,3,0.47236655,0.14851485,0.0,0.30278386,0.3177828,0.22522523,0.66666667,5,Finished,1,0,0.00602461
2015,6,2015-05-24,monaco,KVY,red_bull,0,5,1,0.36787944,0.14851485,0.0,0.12271626,0.3,0.04504505,0.33333333,4,Finished,1,0,0.00250765
2015,6,2015-05-24,monaco,RAI,ferrari,0,6,3,0.2865048,0.65346535,0.0,0.51012456,0.15524131,0.46846847,0.25,6,Finished,1,0,0.00617675
2015,6,2015-05-24,monaco,PER,force_india,0,7,3,0.22313016,0.05445545,0.0,0.15712627,0.03207962,0.04504505,0.75,7,Finished,1,0,0.00129071
2015,6,2015-05-24,monaco,SAI,toro_rosso,0,8,0,0.17377394,0.06930693,0.0,0.15980897,0.5,0.07207207,0.5,10,Finished,1,0,0.00138647
2015,6,2015-05-24,monaco,MAL,lotus_f1,0,9,3,0.13533528,0.07920792,0.0,0.01311279,0.0,0.0,0.5,20,Brakes,0,0,0.0006951
2015,6,2015-05-24,monaco,VER,toro_rosso,0,10,0,0.10539922,0.06930693,0.0,0.09413113,0.5,0.05405405,0.5,18,Accident,0,0,0.00098187
2015,6,2015-05-24,monaco,GRO,lotus_f1,0,11,3,0.082085,0.07920792,0.0,0.2122542,0.11690576,0.14414414,0.5,12,Finished,1,0,0.00082725
2015,6,2015-05-24,monaco,BUT,mclaren,0,12,3,0.06392786,0.0,0.0,0.0559349,0.29648493,0.0,0.5,8,Finished,1,0,0.00060941
2015,6,2015-05-24,monaco,HUL,force_india,0,13,3,0.04978707,0.05445545,0.0,0.11363885,0.31638053,0.05405405,0.25,11,Finished,1,0,0.00061896
2015,6,2015-05-24,monaco,MAS,williams,0,14,3,0.03877421,0.4009901,0.0,0.40953405,0.22999047,0.35135135,0.25,15,+1 Lap,1,0,0.00146746
2015,6,2015-05-24,monaco,ALO,mclaren,0,15,3,0.03019738,0.0,0.0,0.06634514,0.51902227,0.0,0.5,19,Gearbox,0,0,0.0006326
2015,6,2015-05-24,monaco,NAS,sauber,0,16,0,0.02351775,0.09405941,0.0,0.22174532,0.5,0.12612613,1.0,9,Finished,1,0,0.00109953
2015,6,2015-05-24,monaco,BOT,williams,0,17,2,0.01831564,0.4009901,0.0,0.41290514,0.2059304,0.37837838,0.75,14,Finished,1,0,0.00170294
2015,6,2015-05-24,monaco,ERI,sauber,0,18,1,0.01426423,0.09405941,0.0,0.12085125,0.35646013,0.04504505,0.0,13,Finished,1,0,0.00052306
2015,6,2015-05-24,monaco,STE,manor,0,19,0,0.011109,0.0,0.0,0.040798,0.5,0.0,1.0,17,+2 Laps,1,0,0.00070618
2015,6,2015-05-24,monaco,MER,manor,0,20,0,0.0086517,0.0,0.0,0.04979357,0.5,0.0,0.0,16,+2 Laps,1,0,0.00045132
2015,7,2015-06-07,villeneuve,HAM,mercedes,0,1,3,1.0,1.0,0.0,1.0,0.58929214,1.0,0.66666667,1,Finished,1,1,0.64854682
2015,7,2015-06-07,villeneuve,ROS,mercedes,0,2,3,0.77880078,1.0,0.0,0.96554823,0.8008634,0.92063492,0.33333333,2,Finished,1,0,0.27468405
2015,7,2015-06-07,villeneuve,RAI,ferrari,0,3,3,0.60653066,0.71859296,0.0,0.63456385,0.2613961,0.47619048,0.2,4,Finished,1,0,0.03021553
2015,7,2015-06-07,villeneuve,BOT,williams,0,4,2,0.47236655,0.34673367,0.0,0.46174701,0.35563285,0.33333333,0.8,3,Finished,1,0,0.01178947
2015,7,2015-06-07,villeneuve,GRO,lotus_f1,0,5,3,0.36787944,0.08040201,0.0,0.25421991,0.28750563,0.12698413,0.5,10,+1 Lap,1,0,0.00308274
2015,7,2015-06-07,villeneuve,MAL,lotus_f1,0,6,3,0.2865048,0.08040201,0.0,0.01411633,0.04876796,0.0,0.5,7,Finished,1,0,0.00134676
2015,7,2015-06-07,villeneuve,HUL,force_india,0,7,3,0.22313016,0.05025126,0.0,0.08383361,0.30687822,0.04761905,0.2,8,+1 Lap,1,0,0.00122563
2015,7,2015-06-07,villeneuve,KVY,red_bull,0,8,1,0.17377394,0.22110553,0.0,0.25950795,0.3,0.13492063,0.5,9,+1 Lap,1,0,0.00198727
2015,7,2015-06-07,villeneuve,RIC,red_bull,0,9,3,0.13533528,0.22110553,0.0,0.34486383,0.65646431,0.27777778,0.5,13,+1 Lap,1,0,0.00282885
2015,7,2015-06-07,villeneuve,PER,force_india,0,10,3,0.10539922,0.05025126,0.0,0.20069782,0.26137774,0.08730159,0.8,11,+1 Lap,1,0,0.00124
2015,7,2015-06-07,villeneuve,SAI,toro_rosso,0,11,0,0.082085,0.06532663,0.0,0.16354365,0.5,0.07142857,0.5,12,+1 Lap,1,0,0.00115557
2015,7,2015-06-07,villeneuve,VER,toro_rosso,0,12,0,0.06392786,0.06532663,0.0,0.1013351,0.5,0.04761905,0.5,15,+1 Lap,1,0,0.00099597
2015,7,2015-06-07,villeneuve,ERI,sauber,0,13,1,0.04978707,0.03517588,0.0,0.0939147,0.3,0.03968254,0.0,14,+1 Lap,1,0,0.0005975
2015,7,2015-06-07,villeneuve,ALO,mclaren,0,14,3,0.03877421,0.0201005,0.0,0.0571381,0.70872324,0.0,0.5,20,Engine,0,0,0.00092456
2015,7,2015-06-07,villeneuve,NAS,sauber,0,15,0,0.03019738,0.03517588,0.0,0.18127729,0.5,0.12698413,1.0,16,+2 Laps,1,0,0.00125901
2015,7,2015-06-07,villeneuve,VET,ferrari,0,16,3,0.02351775,0.71859296,0.0,0.83771653,1.0,0.77777778,0.8,5,Finished,1,0,0.01539933
2015,7,2015-06-07,villeneuve,MAS,williams,0,17,3,0.01831564,0.34673367,0.0,0.32759247,0.15520357,0.30952381,0.2,6,Finished,1,0,0.00133151
2015,7,2015-06-07,villeneuve,MER,manor,0,18,0,0.01426423,0.0,0.0,0.05444094,0.5,0.0,0.25,18,Retired,0,0,0.00061706
2015,7,2015-06-07,villeneuve,STE,manor,0,19,0,0.011109,0.0,0.0,0.04459872,0.5,0.0,0.75,17,+4 Laps,1,0,0.00077237
2015,9,2015-07-05,silverstone,HAM,mercedes,0,1,3,1.0,1.0,0.0,0.95961969,1.0,1.0,0.625,1,Finished,1,1,0.73584217
2015,9,2015-07-05,silverstone,ROS,mercedes,0,2,3,0.77880078,1.0,0.0,1.0,0.48452484,0.9408284,0.375,2,Finished,1,0,0.2018296
2015,9,2015-07-05,silverstone,MAS,williams,0,3,3,0.60653066,0.38755981,0.0,0.3635931,0.35285785,0.36686391,0.28571429,4,Finished,1,0,0.012449
2015,9,2015-07-05,silverstone,BOT,williams,0,4,2,0.47236655,0.38755981,0.0,0.51047448,0.67513747,0.3964497,0.71428571,5,Finished,1,0,0.01497568
2015,9,2015-07-05,silverstone,RAI,ferrari,0,5,3,0.36787944,0.54066986,0.0,0.48668436,0.35768272,0.4260355,0.33333333,8,+1 Lap,1,0,0.00843777
2015,9,2015-07-05,silverstone,VET,ferrari,0,6,3,0.2865048,0.54066986,0.0,0.65415173,0.52040223,0.71005917,0.66666667,3,Finished,1,0,0.01280004
2015,9,2015-07-05,silverstone,KVY,red_bull,0,7,1,0.22313016,0.20095694,0.0,0.27371192,0.41785928,0.11242604,0.5,6,Finished,1,0,0.00219159
2015,9,2015-07-05,silverstone,SAI,toro_rosso,0,8,0,0.17377394,0.03349282,0.0,0.10648099,0.5,0.05325444,0.66666667,14,Electrical,0,0,0.00133175
2015,9,2015-07-05,silverstone,HUL,force_india,0,9,3,0.13533528,0.11483254,0.0,0.20078626,0.27709255,0.10650888,0.42857143,7,Finished,1,0,0.00113375
2015,9,2015-07-05,silverstone,RIC,red_bull,0,10,3,0.10539922,0.20095694,0.0,0.30617151,0.58926472,0.21301775,0.5,15,Electrical,0,0,0.00187461
2015,9,2015-07-05,silverstone,PER,force_india,0,11,3,0.082085,0.11483254,0.0,0.21736019,0.08977664,0.07692308,0.57142857,9,+1 Lap,1,0,0.000869
2015,9,2015-07-05,silverstone,GRO,lotus_f1,0,12,3,0.06392786,0.11004785,0.0,0.18353395,0.19552199,0.10059172,0.5,17,Collision,0,0,0.00083536
2015,9,2015-07-05,silverstone,VER,toro_rosso,0,13,0,0.04978707,0.03349282,0.0,0.09862716,0.5,0.0591716,0.33333333,16,Spun off,0,0,0.00073461
2015,9,2015-07-05,silverstone,MAL,lotus_f1,0,14,3,0.03877421,0.11004785,0.0,0.14773691,0.10639734,0.07100592,0.5,18,Collision,0,0,0.00067117
2015,9,2015-07-05,silverstone,ERI,sauber,0,15,1,0.03019738,0.00956938,0.0,0.09005392,0.3,0.0295858,0.14285714,11,+1 Lap,1,0,0.00049909
2015,9,2015-07-05,silverstone,NAS,sauber,0,16,0,0.02351775,0.00956938,0.0,0.13557993,0.5,0.09467456,0.85714286,20,Gearbox,0,0,0.00089716
2015,9,2015-07-05,silverstone,ALO,mclaren,0,17,3,0.01831564,0.01913876,0.0,0.03014786,0.82686331,0.0,0.5,10,+1 Lap,1,0,0.00080301
2015,9,2015-07-05,silverstone,BUT,mclaren,0,18,3,0.01426423,0.01913876,0.0,0.06602376,0.46101428,0.02366864,0.5,19,Collision,0,0,0.00062883
2015,9,2015-07-05,silverstone,STE,manor,0,19,0,0.011109,0.0,0.0,0.03833186,0.5,0.0,0.75,13,+3 Laps,1,0,0.00067172
2015,9,2015-07-05,silverstone,MER,manor,0,20,0,0.0086517,0.0,0.0,0.04415101,0.5,0.0,0.25,12,+3 Laps,1,0,0.00052408
2015,10,2015-07-26,hungaroring,HAM,mercedes,0,1,3,1.0,1.0,0.0,0.92890939,1.0,1.0,0.66666667,6,Finished,1,0,0.75645765
2015,10,2015-07-26,hungaroring,ROS,mercedes,0,2,3,0.77880078,1.0,0.0,1.0,0.33762194,0.91237113,0.33333333,8,Finished,1,0,0.17201009
2015,10,2015-07-26,hungaroring,VET,ferrari,0,3,3,0.60653066,0.49056604,0.0,0.68087065,0.55863384,0.69587629,0.71428571,1,Finished,1,1,0.03847563
2015,10,2015-07-26,hungaroring,RIC,red_bull,0,4,3,0.47236655,0.18867925,0.0,0.21704547,0.58487723,0.18556701,0.5,3,Finished,1,0,0.00618576
2015,10,2015-07-26,hungaroring,RAI,ferrari,0,5,3,0.36787944,0.49056604,0.0,0.34773701,0.72199213,0.39175258,0.28571429,18,Power Unit,0,0,0.0081358
2015,10,2015-07-26,hungaroring,BOT,williams,0,6,2,0.2865048,0.4245283,0.0,0.47268601,0.28590699,0.39690722,0.625,13,Finished,1,0,0.00523619
2015,10,2015-07-26,hungaroring,KVY,red_bull,0,7,1,0.22313016,0.18867925,0.0,0.3007442,0.33494629,0.13917526,0.5,2,Finished,1,0,0.0020487
2015,10,2015-07-26,hungaroring,MAS,williams,0,8,3,0.17377394,0.4245283,0.0,0.43465603,0.38650877,0.3814433,0.375,12,Finished,1,0,0.00308377
2015,10,2015-07-26,hungaroring,VER,toro_rosso,0,9,0,0.13533528,0.03301887,0.0,0.09547083,0.5,0.05154639,0.33333333,4,Finished,1,0,0.00094549
